mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.38059515953063966,0.01936656488746672,0.04322805404663086,0.0059614909653831144,0.1,scale,"{'clf__C': 0.1, 'clf__gamma': 'scale'}",0.6159288830893226,0.5675018097811112,0.576278505597836,0.5718442291856416,0.5848265059963447,0.5832759867300512,0.017303700366169135,9
0.462706184387207,0.022351899353794422,0.058918333053588866,0.014877790030650585,0.1,0.01,"{'clf__C': 0.1, 'clf__gamma': 0.01}",0.34579753633976384,0.3064056716230629,0.31480724244699404,0.3294635303481007,0.30187861836958224,0.3196705198255008,0.01609150999218817,11
0.4458064079284668,0.04405080212469137,0.03592219352722168,0.005119785751324177,0.1,0.001,"{'clf__C': 0.1, 'clf__gamma': 0.001}",0.04105571847507332,0.04105571847507332,0.04105571847507332,0.04105571847507332,0.040336134453781515,0.04091180167081496,0.0002878336085167216,12
0.2175302505493164,0.029315677768692677,0.04186854362487793,0.011091426960408697,1.0,scale,"{'clf__C': 1, 'clf__gamma': 'scale'}",0.9022709259755004,0.840220910741725,0.90045440984428,0.8727779232408368,0.8753645295082241,0.8782177398621134,0.02260317097887674,5
0.3067168235778809,0.00955838720478232,0.0272064208984375,0.00491455208515695,1.0,0.01,"{'clf__C': 1, 'clf__gamma': 0.01}",0.6923292043936085,0.6540592810757159,0.7790752116314897,0.7206500382981035,0.7237136384173224,0.713965474763248,0.041075219188620456,7
0.43561673164367676,0.08181106091830656,0.034516096115112305,0.004304393066468784,1.0,0.001,"{'clf__C': 1, 'clf__gamma': 0.001}",0.45587774270566594,0.3428986810853351,0.371150221515585,0.3391797116308449,0.3148159051656461,0.36478445242061547,0.04892842937137992,10
0.17387733459472657,0.015300685490087744,0.02944979667663574,0.0035237780039821514,10.0,scale,"{'clf__C': 10, 'clf__gamma': 'scale'}",0.9109979252197881,0.9122336841462247,0.9108199886962007,0.9045080308665427,0.9196355983208109,0.9116390454499135,0.0048214460714547614,2
0.1724259853363037,0.0026599431904238556,0.03178958892822266,0.009367068339311843,10.0,0.01,"{'clf__C': 10, 'clf__gamma': 0.01}",0.9144501051636265,0.8835452170301298,0.9237926868539736,0.8845330647206079,0.8924535991984724,0.8997549345933621,0.016380056997966717,4
0.27954349517822263,0.018909112430914116,0.03627843856811523,0.011510842673521982,10.0,0.001,"{'clf__C': 10, 'clf__gamma': 0.001}",0.689928838905578,0.6277893111972235,0.7502458018619205,0.6943125689602665,0.6873230120442855,0.6899199065938548,0.0387955253811225,8
0.15617060661315918,0.023420292890932115,0.023862361907958984,0.00458019759151603,50.0,scale,"{'clf__C': 50, 'clf__gamma': 'scale'}",0.9226780106699787,0.8835545085933635,0.9129372308285408,0.8867954061364524,0.9027411321191705,0.9017412576695012,0.014958833578206389,3
0.15228824615478515,0.020963717283156102,0.024890804290771486,0.005593356174501011,50.0,0.01,"{'clf__C': 50, 'clf__gamma': 0.01}",0.9187342449604395,0.9226925797071035,0.9369323046703502,0.9218426885932243,0.9408638259331127,0.9282131287728459,0.008910357741088823,1
0.16368398666381836,0.009731501548445078,0.019451189041137695,0.00043191701851055976,50.0,0.001,"{'clf__C': 50, 'clf__gamma': 0.001}",0.8772879535160537,0.8553351679129818,0.8903763779458508,0.8546822125049082,0.8447735026422547,0.8644910429044099,0.016748946749360737,6
