mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__bootstrap,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5109388351440429,0.027010967764174776,0.022820758819580077,0.004272893843261619,True,,1,2,200,"{'clf__bootstrap': True, 'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.9298647466451053,0.8871722427525437,0.9150808073299367,0.9190240582080789,0.8860897009356014,0.9074463111742531,0.017675172746793807,41
0.877396821975708,0.04142371969838583,0.03635811805725098,0.007319171362787012,True,,1,2,400,"{'clf__bootstrap': True, 'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 400}",0.9264829349025053,0.8940585399780766,0.9148197369898495,0.9115190716650813,0.9068199408935174,0.9107400448858061,0.010570990282480366,25
1.6073903560638427,0.046647361162543775,0.06406750679016113,0.007157671455291232,True,,1,2,800,"{'clf__bootstrap': True, 'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 800}",0.929774792584064,0.9010817632885814,0.9081080946434799,0.905427047318361,0.9072503603377843,0.9103284116344541,0.010020876380377058,28
0.412768030166626,0.024539848529349807,0.020532798767089844,0.0037372119176520236,True,,1,5,200,"{'clf__bootstrap': True, 'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.9232411736613688,0.882725234331789,0.9119948936127936,0.9113450706689682,0.9000722552014829,0.9058757254952805,0.013700673367760586,55
0.7683349132537842,0.014891035584390512,0.03363051414489746,0.004094950020910456,True,,1,5,400,"{'clf__bootstrap': True, 'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 400}",0.940458373549333,0.893705047819779,0.9081365429502162,0.9160660419563982,0.9035954996542372,0.9123923011859928,0.015785496019295284,16
1.4561082363128661,0.15098936380574288,0.06252927780151367,0.0058047052225733715,True,,1,5,800,"{'clf__bootstrap': True, 'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 800}",0.9342527588016171,0.8908892239680289,0.9045667578098671,0.9023335818057917,0.9030562767074028,0.9070197198185415,0.014460408721906083,43
0.3882580280303955,0.018986657394813082,0.021794843673706054,0.004244056665587729,True,,1,10,200,"{'clf__bootstrap': True, 'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 200}",0.9263480087677206,0.8830775256534776,0.9084208380462847,0.9079249959307246,0.8782138710350473,0.9007970478866509,0.01780877742320243,106
0.7141749382019043,0.021714064834222845,0.02907700538635254,0.004552934099403158,True,,1,10,400,"{'clf__bootstrap': True, 'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 400}",0.9229410214083832,0.8947857471029197,0.9010959473568779,0.9048730036014728,0.8854627615118524,0.9018316961963013,0.012433679337405948,92
1.3916614055633545,0.02649383353342866,0.05314459800720215,0.001077236939574538,True,,1,10,800,"{'clf__bootstrap': True, 'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 800}",0.9229410214083832,0.8982097086224609,0.8972842248656836,0.9012835289284347,0.8826942018756604,0.9004825371401244,0.012937116570774844,112
0.36345109939575193,0.013162940366498786,0.023187732696533202,0.0035171267285986634,True,,2,2,200,"{'clf__bootstrap': True, 'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.9302593101612711,0.8864429458956486,0.9005250427747136,0.9023455394814208,0.8902153628655542,0.9019576402357217,0.015373835827071183,90
0.7144147872924804,0.008655614105034272,0.031779813766479495,0.002782505836502024,True,,2,2,400,"{'clf__bootstrap': True, 'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2, 'clf__n_estimators': 400}",0.9338044344182358,0.88999176383338,0.9045667578098671,0.909557612919173,0.8931580575586079,0.9062157253078528,0.015548271865183528,47
1.390773391723633,0.073141875098575,0.05643420219421387,0.0019341911998129197,True,,2,2,800,"{'clf__bootstrap': True, 'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2, 'clf__n_estimators': 800}",0.9303090358670042,0.8979220218557359,0.904381002522071,0.9063719892856212,0.9033093401489308,0.9084586779358725,0.011277913362116981,37
0.37798104286193845,0.02921958168503625,0.027331113815307617,0.010574476359803995,True,,2,5,200,"{'clf__bootstrap': True, 'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.9223564626699245,0.8936378011952086,0.9053101718213828,0.905384778360969,0.8807058889808174,0.9014790206056607,0.013847801051239074,101
0.695494270324707,0.03402384110216775,0.032021617889404295,0.002554998397453383,True,,2,5,400,"{'clf__bootstrap': True, 'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5, 'clf__n_estimators': 400}",0.9231910402414449,0.8943234456079159,0.9046285285262075,0.9090890240803684,0.8865499963426231,0.903556406959712,0.012583669563096884,77
1.397132968902588,0.07003761038464087,0.049913883209228516,0.0038269790081200674,True,,2,5,800,"{'clf__bootstrap': True, 'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5, 'clf__n_estimators': 800}",0.9304221517447374,0.8982562202807938,0.9006050747875187,0.9021793457187358,0.8936085112407357,0.9050142607545043,0.013029204286818133,60
0.36116690635681153,0.03857058726374884,0.020099687576293945,0.004292829899230262,True,,2,10,200,"{'clf__bootstrap': True, 'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 10, 'clf__n_estimators': 200}",0.9302593101612711,0.8935822838620542,0.9013921546352639,0.9017860511459727,0.8862810214708421,0.9026601642550809,0.014931637603767495,85
0.7192557334899903,0.026770021890770292,0.03417043685913086,0.004317240884926137,True,,2,10,400,"{'clf__bootstrap': True, 'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 10, 'clf__n_estimators': 400}",0.9264292896645838,0.889741137266964,0.9008411163599508,0.9050928795533222,0.8795163814460686,0.9003241608581778,0.015807907789321556,115
1.3406067848205567,0.04996046821570455,0.05504388809204101,0.006769918857023176,True,,2,10,800,"{'clf__bootstrap': True, 'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 10, 'clf__n_estimators': 800}",0.9262830908341745,0.8898298472148808,0.8970707875093892,0.8989219448154797,0.8762116761219815,0.8976634692991811,0.016386353069626672,131
0.368532133102417,0.013146277922272727,0.023658227920532227,0.005726044105178841,True,,4,2,200,"{'clf__bootstrap': True, 'clf__max_depth': None, 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.9227365019217318,0.8771306715943801,0.9008411163599508,0.8988635110159283,0.8595383254824605,0.8918220252748903,0.021655043463560848,157
0.7369663715362549,0.06407843688599639,0.04035820960998535,0.013179811583028911,True,,4,2,400,"{'clf__bootstrap': True, 'clf__max_depth': None, 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 2, 'clf__n_estimators': 400}",0.9227365019217318,0.8820756348819823,0.9007846435543784,0.8918229537524647,0.8759784135898349,0.8946796295400785,0.016378132005022337,152
