mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__l2_regularization,param_clf__learning_rate,param_clf__max_depth,param_clf__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.5951889514923097,0.0708773455718915,0.0620610237121582,0.006081020808867844,0.0,0.05,,200,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_depth': None, 'clf__max_iter': 200}",0.9481930544488811,0.9475580115820962,0.9438867701791602,0.9349744685805197,0.9464673901929437,0.9442159389967202,0.004849104175797384,25
2.9914589881896974,0.03978229398659717,0.06978206634521485,0.012926257821411208,0.0,0.05,,300,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_depth': None, 'clf__max_iter': 300}",0.9481930544488811,0.9333030333641139,0.9477356560984467,0.9379576591576955,0.9431922192485998,0.9420763244635474,0.005737973197141772,53
3.567207193374634,0.1076091896063668,0.07598142623901367,0.009339219093558376,0.0,0.05,,500,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_depth': None, 'clf__max_iter': 500}",0.9481930544488811,0.9407479682637939,0.947850536374452,0.9340642233655254,0.9431922192485998,0.9428096003402505,0.005201364373285078,40
2.0606267929077147,0.09869250769045952,0.04289860725402832,0.0016925292875466314,0.0,0.05,6,200,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_depth': 6, 'clf__max_iter': 200}",0.9401536064282301,0.9398043241458965,0.9651266927226334,0.9486635667453566,0.9319497468535112,0.9451395873791256,0.01130663295139432,15
2.7806288242340087,0.060144774179966325,0.050599861145019534,0.003339761306320228,0.0,0.05,6,300,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_depth': 6, 'clf__max_iter': 300}",0.9408760983749352,0.939879590654957,0.9655555320111999,0.9450703336487442,0.9380190043792087,0.945880111813809,0.010105655004927713,7
3.2590003967285157,0.09463486120338198,0.07242422103881836,0.004491399248497983,0.0,0.05,6,500,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_depth': 6, 'clf__max_iter': 500}",0.9373375779376808,0.9361690155158103,0.96233689561689,0.9450703336487442,0.9452035919435432,0.9452234829325337,0.009349477224401425,12
2.416529321670532,0.03903580977794659,0.047139453887939456,0.0042877361003089655,0.0,0.05,12,200,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_depth': 12, 'clf__max_iter': 200}",0.9407128603355196,0.9435797387350421,0.9475119543979519,0.9386371763259103,0.9496223216539343,0.9440128102896717,0.004091094924833374,26
2.822145175933838,0.018414894564531006,0.05685262680053711,0.00822598772222132,0.0,0.05,12,300,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_depth': 12, 'clf__max_iter': 300}",0.9446130704011432,0.9398921970961347,0.9515670351196991,0.9413482305125898,0.9495356879921232,0.9453912442243378,0.004527865744879132,9
3.4163575172424316,0.07214093686086215,0.07465825080871583,0.0031544096393670475,0.0,0.05,12,500,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_depth': 12, 'clf__max_iter': 500}",0.9446130704011432,0.9472255508316021,0.9546446268719898,0.9377991469125118,0.9423241051285653,0.9453213000291625,0.0055967517101491015,10
1.6110996723175048,0.09500377851971395,0.044092226028442386,0.00627925348416923,0.0,0.1,,200,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.1, 'clf__max_depth': None, 'clf__max_iter': 200}",0.9441678659923399,0.9362037037107726,0.9439508405526731,0.9446838455984797,0.9394837455076827,0.9416980002723895,0.003322078180428997,58
1.9037419319152833,0.059310935361885045,0.04954371452331543,0.0023026653864909458,0.0,0.1,,300,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.1, 'clf__max_depth': None, 'clf__max_iter': 300}",0.9441678659923399,0.9362037037107726,0.9477356560984467,0.9446838455984797,0.9394837455076827,0.9424549633815442,0.004091309081131846,42
2.3576712608337402,0.06703508594778795,0.05738916397094727,0.004806771755645154,0.0,0.1,,500,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.1, 'clf__max_depth': None, 'clf__max_iter': 500}",0.9441678659923399,0.9362037037107726,0.9477356560984467,0.9446838455984797,0.9394837455076827,0.9424549633815442,0.004091309081131846,42
1.489732551574707,0.043940894344743214,0.033762216567993164,0.005609969440203419,0.0,0.1,6,200,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__max_iter': 200}",0.9446585860857566,0.9325111810022474,0.9682923368815016,0.9518311698189746,0.9592940008457089,0.951317454926838,0.012247875557258783,1
1.7499462127685548,0.05120995427296119,0.04414854049682617,0.005683552193386685,0.0,0.1,6,300,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__max_iter': 300}",0.934708964736725,0.9325111810022474,0.9651170719865911,0.9518311698189746,0.9592940008457089,0.9486924776780494,0.013033679268116244,3
2.2413048267364504,0.03951093673949594,0.055526351928710936,0.007677168113466842,0.0,0.1,6,500,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__max_iter': 500}",0.934708964736725,0.9325111810022474,0.9655097048530014,0.9518311698189746,0.9592940008457089,0.9487710042513315,0.013133202015204215,2
1.5424054145812989,0.03020928800137199,0.03811631202697754,0.005505239185091911,0.0,0.1,12,200,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.1, 'clf__max_depth': 12, 'clf__max_iter': 200}",0.9445540859436623,0.9325112447151824,0.9508355891409707,0.9446838455984797,0.9391074847605619,0.9423384500317715,0.006158317900492561,51
